authors,year,title,publication,links
Oberauer K & Awh E,2022,Is There an Activity-silent Working Memory?,<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/jocn_a_01917)
Zhao C & Vogel E,2022,Visual long-term memory guides attentional selection during serial reaction time task,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/jov.22.14.3226)
"Sutterer DW, Coia AJ, Sun VC, Shevell S & Awh E",2021,Decoding chromaticity and luminance from patterns of EEG activity,<i>Psychophysiology</i>,[Link](https://doi.org/10.1111/psyp.13779)
"Vo VA, Sutterer DW, Foster JJ, Sprague TC, Awh E & Serences J",2021,Shared Representational Formats for Information Maintained in Working Memory and Information Retrieved from Long-Term Memory.,<i>Cerebral Cortex</i>,[Link](https://doi.org/10.1093/cercor/bhab267)
"Feldmann-Wüstefeld T, Weinberger M & Awh E",2020,Spatially Guided Distractor Suppression during Visual Search,<i>Journal of Neuroscience</i>,[Link](https://doi.org/10.1101/2020.07.25.220947)
"Ngiam W, Adam KCS, Quirk C, Vogel E & Awh E",2020,Estimating the statistical power to detect set-size effects in contralateral delay activity,<i>Psychophysiology</i>,[Link](https://doi.org/10.31234/osf.io/nbvkc)
"Hakim N, Vogel E & Awh E",2020,Neural dynamics of interrupting sustained spatial attention,,[Link](https://doi.org/10.1167/jov.20.11.438)
"Thyer W, Adam KCS, Vogel E & Awh E",2020,Multivariate EEG evidence for feature-independent storage in visual working memory,,[Link](https://doi.org/10.1167/jov.20.11.1255) \| [PDF](/files/pdfs/foster_thyer_wennberg_awh_2020.pdf)
"Hakim N, Awh E & Vogel E",2020,Manifold Visual Working Memory,,[Link](https://doi.org/10.1093/oso/9780198842286.003.0011)
"deBettencourt M, Vogel E & Awh E",2020,Distinct temporal dynamics of sustained and spatial attention,,[Link](https://doi.org/10.1167/jov.20.11.830)
"Diaz GK, Vogel E & Awh E",2020,Examining encoding biases in visual working memory using alpha band activity,,[Link](https://doi.org/10.1167/jov.20.11.1248)
"Ngiam W, Loetscher KB, Vogel E & Awh E",2020,Object-based memories revealed by whole-report for dual-feature stimuli,,[Link](https://doi.org/10.1167/jov.20.11.1546)
"Munneke J, Fahrenfort JJ, Sutterer DW, Theeuwes J & Awh E",2020,Multivariate analysis of EEG activity indexes contingent attentional capture,<i>NeuroImage</i>,[Link](https://doi.org/10.1016/j.neuroimage.2020.117562)
"Adam KCS, Doss MK, Pabon E, Vogel E & Wit Hd",2020,Δ9-Tetrahydrocannabinol (THC) impairs visual working memory performance: a randomized crossover trial,<i>Neuropsychopharmacology</i>,[Link](https://doi.org/10.1038/s41386-020-0690-3) \| [PDF](/files/pdfs/Adams2020.pdf)
"Lucero C, Brookshire G, Sava-Segal C, Bottini R, Goldin‐Meadow S, Vogel E & Casasanto D",2020,Unconscious Number Discrimination in the Human Visual System.,<i>Cerebral Cortex</i>,[Link](https://doi.org/10.1093/cercor/bhaa155)
"Adam KCS, Awh E & Vogel E",2019,Classification of load in visual working memory using single-trial EEG data,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/19.10.247a)
"Hakim N, Feldmann-Wüstefeld T, Awh E & Vogel E",2019,The influence of task-relevant vs. task-irrelevant interruption on dissociable sub-component processes of the focus of attention,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/19.10.90c)
"Ngiam W, Awh E & Holcombe A",2019,Examining the effects of memory compression with the contralateral delay activity,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/19.10.204a)
Foster JJ & Awh E,2019,Characterizing the influence of spatial attention on stimulus-evoked cortical representations,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/19.10.99c)
"Feldmann-Wüstefeld T, Vogel E & Awh E",2019,"Contralateral delay activity indexes the number of items stored in working memory, not the current focus of spatial attention",<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/19.10.203c)
"Martin J, Tsukahara JS, Draheim C, Shipstead Z, Mashburn CA, Vogel E & Engle R",2019,The visual arrays task…visual storage capacity or attention control?,,[Link](https://doi.org/10.31234/osf.io/u92cm)
"Quirk C, Chen A & Vogel E",2019,Spatial biases in visual working memory encoding persist despite controlled gaze position,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/19.10.40b)
"Kardan O, Adam KCS, Mance I, Churchill N, Vogel E & Berman M",2019,Distinguishing cognitive effort and working memory load using scale-invariance and alpha suppression in EEG,<i>NeuroImage</i>,[Link](https://doi.org/10.31234/osf.io/7q4m8)
Sutterer DW & Awh E,2018,Evidence for concurrent activation of sequentially encoded spatial locations,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.109)
"Hakim N, Feldmann-Wüstefeld T, Awh E & Vogel E",2018,Distinct Attention and Working Memory Mechanisms Protect Internal Representations from Interruption,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.674) \| [PDF](/files/pdfs/hakim_2018_phase-coding.pdf)
Feldmann-Wüstefeld T & Awh E,2018,Theta-band oscillations track the time course of attentional suppression,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.1221)
"Oberauer K, Lewandowsky S, Awh E, Brown GDA, Conway ARA, Cowan N, Donkin C, Farrell S, Hitch G, Hurlstone MJ, Ma W, Morey C, Nee D, Schweppe J, Vergauwe E & Ward G",2018,Benchmarks for models of short-term and working memory.,<i>Psychological bulletin</i>,[Link](https://doi.org/10.1037/bul0000153)
"Feldmann-Wüstefeld T, Vogel E & Awh E",2018,"Contralateral Delay Activity Indexes Working Memory Storage, Not the Current Focus of Spatial Attention",<i>Journal of Cognitive Neuroscience</i>,[Link](https://doi.org/10.1162/jocn_a_01271)
"Foster JJ, Bsales EM & Awh E",2018,The N2pc does not reflect a shift of covert spatial attention,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.1220)
"Oberauer K, Lewandowsky S, Awh E, Brown GDA, Conway ARA, Cowan N, Donkin C, Farrell S, Hitch G, Hurlstone MJ, Ma W, Morey C, Nee D, Schweppe J, Vergauwe E & Ward G",2018,Benchmarks provide common ground for model development: Reply to Logie (2018) and Vandierendonck (2018).,<i>Psychological bulletin</i>,[Link](https://doi.org/10.1037/bul0000165)
"Diaz GK, Vogel E & Awh E",2018,Examining distinct neural signals that track the contents of working memory,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.110)
"Adam KCS, Vogel E & Awh E",2018,Decoding the limits of simultaneous storage in working memory,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.366)
"Quirk C, Adam KCS & Vogel E",2018,Preexisting spatial biases influence the encoding of information into visual working memory,<i>Journal of Vision</i>,[Link](https://doi.org/10.1167/18.10.882)
Adam KCS & Vogel E,2018,Improvements to visual working memory performance with practice and feedback,<i>PLoS ONE</i>,[Link](https://doi.org/10.1371/journal.pone.0203279)
"Gunseli E, Foster JJ, Sutterer DW, Vogel E & Awh E",2017,Alpha-Band Activity Tracks Updates to the Content of Spatial Working Memory,,[Link](https://doi.org/10.1167/17.10.337)
"Adam KCS, Foster JJ, Sutterer DW, Vogel E & Awh E",2017,Topography of alpha-band power tracks improvement in working memory precision with repeated encoding,,[Link](https://doi.org/10.1167/17.10.333)
